id_equipo	ip_equipo	nem_equipo	grupo	tipo	consultar	activo
167	10.199.22.75	AATECRCTN1W1N01A01END1	CR_METRO	huawei	SI	
168	10.199.22.66	AATECREAN1W1N01A01END1	CR_METRO	huawei	SI	
169	10.199.22.67	AATECRELN1W1N01A01END1	CR_METRO	huawei	SI	
170	10.199.22.68	AATECRGAN1W1N01A01END1	CR_METRO	huawei	SI	
171	10.199.22.78	AATECRMAN1W1N01A01END1	CR_METRO	huawei	SI	
172	10.199.25.194	AATECRPAN1W1N01A01END1	CR_METRO	huawei	SI	
173	10.199.22.71	AATECRRGN1W1N01A01END1	CR_METRO	huawei	SI	
174	10.199.22.70	AATECRVAN1W1N01A01END1	CR_METRO	huawei	SI	
175	10.199.4.132	ACHICRCHN1T1IRM1	CR_METRO	cisco_ios	SI	
176	10.199.19.71	ACHICRCIN1W1N01A01END1	CR_METRO	huawei	SI	
177	10.199.19.70	ACHICRCON1W1N01A01END1	CR_METRO	huawei	SI	
178	10.199.19.69	ACHICRERN1W1N01A01END1	CR_METRO	huawei	SI	
179	10.199.19.67	ACHICRFDN1W1N01A01END1	CR_METRO	huawei	SI	
180	10.199.19.72	ACHICRFON1W1N01A01END1	CR_METRO	huawei	SI	
181	10.199.24.185	ACHICRFVN1W1N01A01END1	CR_METRO	huawei	SI	
182	10.199.19.68	ACHICRPCN1W1N01A01END1	CR_METRO	huawei	SI	
183	10.199.19.73	ACHICRRFN1W1N01A01END1	CR_METRO	huawei	SI	
184	10.199.21.210	ACHICRSEN1W1N01A01END1	CR_METRO	huawei	SI	
185	10.199.21.211	ACHICRVCN1W1N01A01END1	CR_METRO	huawei	SI	
186	10.199.21.121	AGRECRBON1W1N01A01END1	CR_METRO	huawei	SI	
187	10.199.21.123	AGRECRBRN1W1N01A01END1	CR_METRO	huawei	SI	
188	10.199.29.194	AGRECRBSN1W1N01A01END1	CR_METRO	huawei	SI	
189	10.199.17.41	AGRECRCAN1W1N01A01END1	CR_METRO	huawei	SI	
190	10.199.17.34	AGRECRGCN1W1N01A01END1	CR_METRO	huawei	SI	
191	10.199.4.36	AGRECRGRN1T1IRM1	CR_METRO	cisco_ios	SI	
192	10.199.20.168	AGRECRLRN1W1N01A01END1	CR_METRO	huawei	SI	
193	10.199.17.37	AGRECRPGN1W1N01A01END1	CR_METRO	huawei	SI	
194	10.199.19.168	AGRECRSEN1W1N01A01END1	CR_METRO	huawei	SI	
195	10.199.21.119	AGRECRTCN1W1N01A01END1	CR_METRO	huawei	SI	
196	10.199.19.171	AGRECRUTN1W1N01A01END1	CR_METRO	huawei	SI	
197	10.199.89.183	AGUACRRBN1W1N01A01END1	CR_METRO	huawei	SI	
198	10.199.0.4	ALA-CSC003400-M1	CR_METRO	cisco_ios	SI	
199	10.199.21.124	ANARCRDAN1W1N01A01END1	CR_METRO	huawei	SI	
200	10.199.20.72	ANARCRJUN1W1N01A01END1	CR_METRO	huawei	SI	
201	10.199.20.73	ANARCRNAN1W1N01A01END1	CR_METRO	huawei	SI	
202	10.199.20.69	ANARCRPLN1W1N01A01END1	CR_METRO	huawei	SI	
203	10.199.25.53	ANARCRPNN1W1N01A01END1	CR_METRO	huawei	SI	
204	10.199.20.68	ANARCRQHN1W1N01A01END1	CR_METRO	huawei	SI	
205	10.199.25.54	ANARCRSIN1W1N01A01END1	CR_METRO	huawei	SI	
206	10.199.20.66	ANARCRSJN1W1N01A01END1	CR_METRO	huawei	SI	
207	10.199.25.52	ANARCRSMN1W1N01A01END1	CR_METRO	huawei	SI	
208	10.199.20.67	ANARCRVSN1W1N01A01END1	CR_METRO	huawei	SI	
209	10.199.8.71	AOROCRCAN1W1N01A01END1	CR_METRO	huawei	SI	
210	10.199.18.178	AOROCRCEN1W1N01A01END1	CR_METRO	huawei	SI	
211	10.199.18.186	AOROCRCON1W1N01A01END1	CR_METRO	huawei	SI	
212	10.199.8.73	AOROCRCRN1W1N01A01END1	CR_METRO	huawei	SI	
213	10.199.18.182	AOROCRMON1W1N01A01END1	CR_METRO	huawei	SI	
214	10.199.18.183	AOROCRO2N1W1N01A01END1	CR_METRO	huawei	SI	
215	10.199.18.179	AOROCROCN1W1N01A01END1	CR_METRO	huawei	SI	
216	10.199.18.187	AOROCROON1W1N01A01END1	CR_METRO	huawei	SI	
217	10.199.18.184	AOROCROPN1W1N01A01END1	CR_METRO	huawei	SI	
218	10.199.18.180	AOROCRORN1W1N01A01END1	CR_METRO	huawei	SI	
219	10.199.8.74	AOROCRPFN1W1N01A01END1	CR_METRO	huawei	SI	
220	10.199.8.72	AOROCRUVN1W1N01A01END1	CR_METRO	huawei	SI	
221	10.199.25.68	APALCRCBN1W1N01A01END1	CR_METRO	huawei	SI	
222	10.199.25.55	APALCRCRN1W1N01A01END1	CR_METRO	huawei	SI	
223	10.199.25.69	APALCREAN1W1N01A01END1	CR_METRO	huawei	SI	
224	10.199.25.74	APALCREPN1W1N01A01END1	CR_METRO	huawei	SI	
225	10.199.25.73	APALCRESN1W1N01A01END1	CR_METRO	huawei	SI	
226	10.199.25.75	APALCRPAN1W1N01A01END1	CR_METRO	huawei	SI	
227	10.199.21.116	APOACRFPN1W1N01A01END1	CR_METRO	huawei	SI	
228	10.199.20.83	APOACROSN1W1N01A01END1	CR_METRO	huawei	SI	
229	10.199.21.115	APOACRPLN1W1N01A01END1	CR_METRO	huawei	SI	
230	10.199.20.82	APOACRSJN1W1N01A01END1	CR_METRO	huawei	SI	
231	10.199.20.84	APOACRSPN1W1N01A01END1	CR_METRO	huawei	SI	
232	10.199.24.18	ASCACRAPN1W1N01A01END1	CR_METRO	huawei	SI	
233	10.199.17.212	ASCACRARN1W1N01A01END1	CR_METRO	huawei	SI	
234	10.199.22.100	ASCACRASN1W1N01A01END1	CR_METRO	huawei	SI	
235	10.199.17.114	ASCACRAUN1W1N01A01END1	CR_METRO	huawei	SI	
236	10.179.36.25	ASCACRAZN1W1N01O01EIM1	CR_METRO	huawei	SI	
237	10.199.22.101	ASCACRBAN1W1N01A01END1	CR_METRO	huawei	SI	
238	10.199.17.115	ASCACRBEN1W1N01A01END1	CR_METRO	huawei	SI	
239	10.199.20.164	ASCACRBPN1W1N01A01END1	CR_METRO	huawei	SI	
240	10.199.20.167	ASCACRBSN1W1N01A01END1	CR_METRO	huawei	SI	
241	10.199.17.216	ASCACRCDN1W1N01A01END1	CR_METRO	huawei	SI	
242	10.199.24.19	ASCACRCEN1W1N01A01END1	CR_METRO	huawei	SI	
243	10.199.17.213	ASCACRCFN1W1N01A01END1	CR_METRO	huawei	SI	
244	10.199.17.219	ASCACRCIN1W1N01A01END1	CR_METRO	huawei	SI	
245	10.199.17.215	ASCACRCQN1W1N01A01END1	CR_METRO	huawei	SI	
246	10.199.20.163	ASCACRDHN1W1N01A01END1	CR_METRO	huawei	SI	
247	10.199.24.21	ASCACRFAN1W1N01A01END1	CR_METRO	huawei	SI	
248	10.192.0.220	ASCACRFSN1T1EBM1	CR_METRO	cisco_ios	SI	
249	10.199.17.217	ASCACRFSN1W1N01A01END1	CR_METRO	huawei	SI	
250	10.199.17.218	ASCACRHCN1W1N01A01END1	CR_METRO	huawei	SI	
251	10.199.24.20	ASCACRHLN1W1N01A01END1	CR_METRO	huawei	SI	
252	10.199.24.23	ASCACRLTN1W1N01A01END1	CR_METRO	huawei	SI	
253	10.199.17.220	ASCACRMCN1W1N01A01END1	CR_METRO	huawei	SI	
254	10.199.24.22	ASCACRMON1W1N01A01END1	CR_METRO	huawei	SI	
255	10.199.17.116	ASCACRNSN1W1N01A01END1	CR_METRO	huawei	SI	
256	10.199.17.117	ASCACROSN1W1N01A01END1	CR_METRO	huawei	SI	
257	10.199.20.162	ASCACRPEN1W1N01A01END1	CR_METRO	huawei	SI	
258	10.199.20.166	ASCACRPIN1W1N01A01END1	CR_METRO	huawei	SI	
259	10.199.17.210	ASCACRPSN1W1N01A01END1	CR_METRO	huawei	SI	
260	10.199.22.103	ASCACRSGN1W1N01A01END1	CR_METRO	huawei	SI	
261	10.199.20.165	ASCACRSIN1W1N01A01END1	CR_METRO	huawei	SI	
262	10.199.22.102	ASCACRSJN1W1N01A01END1	CR_METRO	huawei	SI	
263	10.199.17.214	ASCACRSNN1W1N01A01END1	CR_METRO	huawei	SI	
264	10.199.4.100	ASCACRSRN1T1IRM1	CR_METRO	cisco_ios	SI	
265	10.199.17.211	ASCACRSUN1W1N01A01END1	CR_METRO	huawei	SI	
266	10.199.22.99	ASCACRTSN1W1N01A01END1	CR_METRO	huawei	SI	
267	10.199.22.98	ASCACRVBN1W1N01A01END1	CR_METRO	huawei	SI	
268	10.199.2.210	ASCACRVRN1T1IRM1	CR_METRO	cisco_ios	SI	
269	10.199.20.169	ASCACRVSN1W1N01A01END1	CR_METRO	huawei	SI	
270	10.199.18.185	ASMACRDEN1W1N01A01END1	CR_METRO	huawei	SI	
271	10.199.8.67	ASMACRJMN1W1N01A01END1	CR_METRO	huawei	SI	
272	10.199.25.20	ASMACRLAN1W1N01A01END1	CR_METRO	huawei	SI	
273	10.199.3.5	ASMACRSMN1T1IRM1	CR_METRO	cisco_ios	SI	
274	10.199.25.84	ASRACRC2N1W1N01A01END1	CR_METRO	huawei	SI	
275	10.199.25.86	ASRACRCNN1W1N01A01END1	CR_METRO	huawei	SI	
276	10.199.8.77	ASRACRCSN1W1N01A01END1	CR_METRO	huawei	SI	
277	10.199.25.83	ASRACRDAN1W1N01A01END1	CR_METRO	huawei	SI	
278	10.199.25.100	ASRACRIAN1W1N01A01END1	CR_METRO	huawei	SI	
279	10.199.25.70	ASRACRMAN1W1N01A01END1	CR_METRO	huawei	SI	
280	10.199.16.172	ASRACRMGN1W1N01A01END1	CR_METRO	huawei	SI	
281	10.199.25.72	ASRACRRON1W1N01A01END1	CR_METRO	huawei	SI	
282	10.199.25.89	ASRACRSJN1W1N01A01END1	CR_METRO	huawei	SI	
283	10.199.25.71	ASRACRSMN1W1N01A01END1	CR_METRO	huawei	SI	
284	10.199.25.82	ASRACRSON1W1N01A01END1	CR_METRO	huawei	SI	
285	10.199.25.87	ASRACRSRN1W1N01A01END1	CR_METRO	huawei	SI	
286	10.199.25.88	ASRACRSSN1W1N01A01END1	CR_METRO	huawei	SI	
287	10.199.25.85	ASRACRUSN1W1N01A01END1	CR_METRO	huawei	SI	
288	10.199.24.46	ATN_WALMART_SDWAN_BACKUP_MTR488	CR_METRO	huawei	SI	
289	10.199.8.24	ATN_WALMART_SDWAN_PRINCIPAL_MTR105	CR_METRO	huawei	SI	
290	10.199.27.18	AUPACRABN1W1N01A01END1	CR_METRO	huawei	SI	
291	10.199.27.35	AUPACRACN1W1N01A01END1	CR_METRO	huawei	SI	
292	10.199.27.37	AUPACRARN1W1N01A01END1	CR_METRO	huawei	SI	
293	10.199.20.40	AUPACRBAN1W1N01A01END1	CR_METRO	huawei	SI	
294	10.199.20.35	AUPACRBIN1W1N01A01END1	CR_METRO	huawei	SI	
295	10.199.24.189	AUPACRBPN1W1N01A01END1	CR_METRO	huawei	SI	
296	10.199.20.38	AUPACRBRN1W1N01A01END1	CR_METRO	huawei	SI	
297	10.199.19.136	AUPACRBSN1W1N01A01END1	CR_METRO	huawei	SI	
298	10.199.20.36	AUPACRCAN1W1N01A01END1	CR_METRO	huawei	SI	
299	10.199.20.39	AUPACRCBN1W1N01A01END1	CR_METRO	huawei	SI	
300	10.199.89.178	AUPACRCEN1W1N01A01END1	CR_METRO	huawei	SI	
301	10.199.89.180	AUPACRCGN1W1N01A01END1	CR_METRO	huawei	SI	
302	10.199.24.182	AUPACRCHN1W1N01A01END1	CR_METRO	huawei	SI	
303	10.199.19.140	AUPACRCJN1W1N01A01END1	CR_METRO	huawei	SI	
304	10.199.24.183	AUPACRCNN1W1N01A01END1	CR_METRO	huawei	SI	
305	10.199.19.138	AUPACRCPN1W1N01A01END1	CR_METRO	huawei	SI	
306	10.199.24.186	AUPACRCTN1W1N01A01END1	CR_METRO	huawei	SI	
307	10.199.89.181	AUPACRELN1W1N01A01END1	CR_METRO	huawei	SI	
308	10.199.27.19	AUPACRFBN1W1N01A01END1	CR_METRO	huawei	SI	
309	10.199.19.141	AUPACRFPN1W1N01A01END1	CR_METRO	huawei	SI	
310	10.199.27.34	AUPACRGAN1W1N01A01END1	CR_METRO	huawei	SI	
311	10.199.24.187	AUPACRGUN1W1N01A01END1	CR_METRO	huawei	SI	
312	10.199.19.139	AUPACRMUN1W1N01A01END1	CR_METRO	huawei	SI	
313	10.199.20.37	AUPACRPRN1W1N01A01END1	CR_METRO	huawei	SI	
314	10.199.19.131	AUPACRQUN1W1N01A01END1	CR_METRO	huawei	SI	
315	10.199.19.142	AUPACRR4N1W1N01A01END1	CR_METRO	huawei	SI	
316	10.199.27.36	AUPACRRAN1W1N01A01END1	CR_METRO	huawei	SI	
317	10.199.89.182	AUPACRRRN1W1N01A01END1	CR_METRO	huawei	SI	
318	10.199.19.135	AUPACRRUN1W1N01A01END1	CR_METRO	huawei	SI	
319	10.199.27.20	AUPACRSAN1W1N01A01END1	CR_METRO	huawei	SI	
320	10.199.19.137	AUPACRSCN1W1N01A01END1	CR_METRO	huawei	SI	
321	10.199.19.130	AUPACRSJN1W1N01A01END1	CR_METRO	huawei	SI	
322	10.199.24.179	AUPACRUAN1W1N01A01END1	CR_METRO	huawei	SI	
323	10.199.19.134	AUPACRUPN1W1N01A01END1	CR_METRO	huawei	SI	
324	10.179.36.79	AVVECRSAN1W1N01O01EIM1	CR_METRO	huawei	SI	
325	10.199.21.85	CCARCRBEN1W1N01A01END1	CR_METRO	huawei	SI	
326	10.199.21.2	CCARCRBLN1W1N01A01END1	CR_METRO	huawei	SI	
327	10.199.5.4	CCARCRCAN1O1IRM1	CR_METRO	cisco_ios	SI	
328	10.199.21.100	CCARCRCCN1W1N01A01END1	CR_METRO	huawei	SI	
329	10.199.21.89	CCARCRCEN1W1N01A01END1	CR_METRO	huawei	SI	
330	10.199.25.184	CCARCRCIN1W1N01A01END1	CR_METRO	huawei	SI	
331	10.199.21.34	CCARCREGN1W1N01A01END1	CR_METRO	huawei	SI	
